SEQ_NO,BR_NAME,BR_ID,BR_ADD,BR_CALL,WAIT_NO,,,,,,,,,,,,,,,
116,이수역지점,20696,서울 서초구 방배2동 3250,02)523-2171,5,,,,,,,,,,,,,,,
117,둔촌역금융센터,20699,서울 강동구 성내동 415-8,02)488-4722,10,,,,,,,,,,,,,,,
118,매경미디어금융센터,20701,서울 중구 필동1가 30-1,02)2000-4800,23,,,,,,,,,,,,,,,
119,상계역지점,20726,서울 노원구 중계4동 591 대호프라자,02)952-0505,26,,,,,,,,,,,,,,,
120,역삼역금융센터,20742,서울 강남구 역삼동 726,02)565-8671,22,,,,,,,,,,,,,,,
121,남대문시장지점,20776,서울시 중구 남대문로4가 3-3,02)756-1371,24,,,,,,,,,,,,,,,
122,가락남부지점,20789,서울 송파구 가락동 138,02)404-9471,8,,,,,,,,,,,,,,,
123,TCE강남센터,20802,서울 강남구 역삼동 679번지 GS타워 6층,02-508-3456,13,,,,,,,,,,,,,,,
124,LG트윈타워금융센터,20811,서울 영등포구 여의도동 20 LG빌딩,02)784-3421,13,,,,,,,,,,,,,,,
125,서울시청금융센터,20812,서울 중구 무교동 45,02)735-6747,14,,,,,,,,,,,,,,,
126,종로4가금융센터,20814,서울 종로구 종로4가 126-2,02)2268-7811,5,,,,,,,,,,,,,,,
127,한화금융센터,20820,서울 중구 장교동 1번지 한화빌딩,02)729-5600,9,,,,,,,,,,,,,,,
128,서울주택도시공사금융센터,20833,서울 강남구 개포동 14-5,02)3412-4681,26,,,,,,,,,,,,,,,
129,포이동금융센터,20844,서울 서초구 양재동 392-6,02)529-5001,3,,,,,,,,,,,,,,,
130,반포서래지점,20847,서울 서초구 반포4동 97-8,02)3476-2301,15,,,,,,,,,,,,,,,
131,남부터미널지점,20856,서울 서초구 서초동 1445-4,02)597-6839,13,,,,,,,,,,,,,,,
132,교대역지점,20880,서울 서초구 서초동 1577-4,02)586-2001,20,,,,,,,,,,,,,,,
133,상암동지점,20892,서울 마포구 상암동 1585,02-3152-8990,6,,,,,,,,,,,,,,,
134,강남대로금융센터,20896,서울 강남구 역삼동 837-36 랜드마크타워1층,02)597-3001,26,,,,,,,,,,,,,,,
135,원남동지점,20898,서울 종로구 원남동 66-21,02)741-2007,21,,,,,,,,,,,,,,,
136,중앙대병원(출),20931,서울 동작구 흑석동 224-1,02-822-1034~5,11,,,,,,,,,,,,,,,
